iter	MultiClass
0	1.722732952
1	1.670220822
2	1.621802243
3	1.585500343
4	1.550898484
5	1.52231101
6	1.49822632
7	1.475974903
8	1.455267239
9	1.435544015
10	1.417501098
11	1.402195324
12	1.386433035
13	1.374849611
14	1.361911088
15	1.350964721
16	1.341156845
17	1.331101285
18	1.322097359
19	1.312890398
20	1.306617088
21	1.299310435
22	1.292710469
23	1.286532648
24	1.280833891
25	1.274811849
26	1.26935505
27	1.263498672
28	1.25744789
29	1.252268615
30	1.247615714
31	1.243106116
32	1.238196355
33	1.234552095
34	1.23077433
35	1.227725637
36	1.223748028
37	1.220492731
38	1.216764105
39	1.213976725
40	1.210688961
41	1.207600698
42	1.20471277
43	1.201780134
44	1.198388261
45	1.196437703
46	1.193202088
47	1.190112587
48	1.187119966
49	1.184949346
50	1.182578415
51	1.179946342
52	1.176899736
53	1.174646017
54	1.172289186
55	1.170533093
56	1.168312492
57	1.165996662
58	1.163547149
59	1.162352496
60	1.159824825
61	1.157840866
62	1.155746207
63	1.153905048
64	1.15196796
65	1.150087171
66	1.14810322
67	1.146313232
68	1.144815012
69	1.142835181
70	1.140805719
71	1.139218697
72	1.13750276
73	1.135907939
74	1.133799965
75	1.132392563
76	1.130815577
77	1.129501019
78	1.1275865
79	1.125855299
80	1.124430394
81	1.122752098
82	1.121239082
83	1.119783436
84	1.118240446
85	1.116892213
86	1.115457308
87	1.11387816
88	1.112181076
89	1.111000237
90	1.109198242
91	1.107836629
92	1.10686827
93	1.105424415
94	1.104342024
95	1.103094597
96	1.101948164
97	1.100615944
98	1.099487112
99	1.098454113
100	1.097367358
101	1.096039781
102	1.094979719
103	1.093991713
104	1.092444696
105	1.091538121
106	1.090426457
107	1.089399953
108	1.088114722
109	1.086955821
110	1.085851088
111	1.084880602
112	1.083305045
113	1.082030946
114	1.080775791
115	1.079661776
116	1.078663452
117	1.077533508
118	1.076611593
119	1.075688378
120	1.074346397
121	1.072680392
122	1.070989374
123	1.070344491
124	1.069083396
125	1.068238422
126	1.067097997
127	1.066196055
128	1.065619161
129	1.064617983
130	1.063319404
