iter	Passed	Remaining
0	868	520019
1	1177	352213
2	1630	324530
3	2086	310828
4	2426	288754
5	2654	262795
6	3386	286900
7	3639	269294
8	3925	257807
9	4262	251476
10	4577	245129
11	5191	254392
12	5537	250020
13	5983	250444
14	6391	249279
15	6708	244843
16	7065	242313
17	7365	238151
18	8108	247939
19	8641	250600
20	8963	247130
21	9283	243911
22	9576	240247
23	10090	242165
24	10371	238539
25	10662	235391
26	11097	235524
27	11401	232918
28	11691	230210
29	12171	231261
30	12793	234819
31	13015	231033
32	13259	227828
33	13520	225075
34	13889	224222
35	14148	221655
36	14446	219827
37	14798	218855
38	15135	217725
39	15537	217523
40	15820	215699
41	16101	213924
42	16563	214558
43	16875	213239
44	17391	214496
45	17675	212879
46	18215	214318
47	18583	213707
48	19352	217620
49	19719	216916
50	20103	216408
51	20491	215948
52	20760	214263
53	20968	212011
54	21206	210141
55	21557	209413
56	21776	207452
57	22039	205953
58	22265	204165
59	22585	203268
60	22976	203023
61	23235	201621
62	23513	200422
63	23759	198987
64	23993	197486
65	24184	195675
66	24433	194370
67	24674	193041
68	25017	192525
69	25242	191125
70	25444	189580
71	25691	188406
72	25943	187287
73	26153	185899
74	26386	184702
75	26602	183414
76	26856	182412
77	27652	185059
78	27922	184147
79	28415	184699
80	28896	185148
81	29198	184448
82	29546	184043
83	29781	182940
84	30177	182837
85	30637	183111
86	30978	182666
87	31627	184014
88	31936	183366
89	32185	182385
90	32811	183527
91	33149	183041
92	33524	182760
93	34025	183156
94	34329	182487
95	34760	182490
96	34976	181374
97	35361	181138
98	35692	180626
99	36197	180989
100	36434	180008
101	37108	181176
102	37956	183148
103	38218	182274
104	38508	181542
105	38785	180753
106	39024	179803
107	39242	178773
108	39485	177866
109	39825	177405
110	40259	177361
111	40504	176483
112	41170	177435
113	41437	176653
114	41693	175837
115	41969	175115
116	42216	174276
117	42454	173415
118	42722	172685
119	43045	172181
120	43383	171741
121	43731	171343
122	44047	170820
123	44356	170271
124	44682	169795
125	44986	169233
126	45495	169444
127	45939	169400
128	46330	169160
129	46635	168603
130	46910	167947
131	47221	167421
132	47527	166881
133	47904	166593
134	48278	166292
135	48616	165867
136	48892	165235
137	49177	164639
138	49440	163972
139	49690	163267
140	50068	162988
141	50297	162226
142	50552	161557
143	50793	160846
144	51249	160816
145	51614	160501
146	51896	159927
147	52187	159384
148	52636	159323
149	52900	158701
150	53186	158151
151	53594	157961
152	53809	157208
153	54045	156522
154	54331	155982
155	54600	155400
156	54883	154862
157	55112	154174
158	55358	153541
159	55616	152944
160	55976	152630
161	56244	152068
162	56523	151538
163	56734	150831
164	56962	150172
165	57195	149536
166	57411	148858
167	57695	148361
168	57967	147833
169	58201	147214
170	58401	146516
171	58597	145811
172	58848	145250
173	59068	144616
174	59299	144012
175	59527	143406
176	59835	142997
177	60073	142422
178	60727	142827
179	61181	142757
180	61685	142797
181	62007	142413
182	62316	141999
183	62624	141584
184	62908	141119
185	63676	141731
186	64127	141629
187	64548	141457
188	65013	141379
189	65316	140946
190	65667	140617
191	65973	140193
192	66257	139725
193	66512	139195
194	66821	138782
195	67107	138323
196	67467	138016
197	67812	137679
198	68095	137217
199	68382	136765
200	68612	136200
201	69363	136667
202	69623	136160
203	69861	135614
204	70116	135101
205	70380	134610
206	70620	134076
207	70875	133572
208	71425	133624
209	71776	133298
210	72046	132824
211	72313	132346
212	72520	131762
213	72773	131264
214	73035	130783
215	73267	130252
216	73829	130307
217	74163	129956
218	74396	129429
219	74683	128998
220	74967	128564
221	75346	128293
222	75682	127947
223	76004	127579
224	76283	127139
225	76666	126873
226	77045	126599
227	77594	126602
228	77860	126140
229	78232	125851
230	78479	125362
231	78739	124897
232	79056	124523
233	79371	124145
234	79888	124082
235	80166	123647
236	80438	123202
237	80716	122769
238	80933	122246
239	81284	121927
